timestamp, state, clock ID, one way delay, offset from master, slave to master, master to slave, drift
2011-07-27 13:55:43:191211, slv, 0050c2fffed28deb/01, 0.000000000, 0.000071410, 0.000000000, 0.000070610, -10471
2011-07-27 13:55:44:220466, slv, 0050c2fffed28deb/01, 0.000000000, 0.000073010, 0.000000000, 0.000075410, -10398
2011-07-27 13:55:45:220868, slv, 0050c2fffed28deb/01, 0.000000000, 0.000075310, 0.000000000, 0.000075210, -10323
2011-07-27 13:55:46:331105, slv, 0050c2fffed28deb/01, 0.000000000, 0.000075830, 0.000000000, 0.000076450, -10248
2011-07-27 13:55:47:361082, slv, 0050c2fffed28deb/01, 0.000000000, 0.000073490, 0.000000000, 0.000070530, -10175
2011-07-27 13:55:48:360636, slv, 0050c2fffed28deb/01, 0.000000000, 0.000073890, 0.000000000, 0.000077250, -10102
2011-07-27 13:55:49:502572, slv, 0050c2fffed28deb/01, 0.000000000, 0.000076730, 0.000000000, 0.000076210, -10026
2011-07-27 13:55:50:530716, slv, 0050c2fffed28deb/01, 0.000000000, 0.000077470, 0.000000000, 0.000078730, -9949
2011-07-27 13:55:51:531213, slv, 0050c2fffed28deb/01, 0.000000000, 0.000078410, 0.000000000, 0.000078090, -9871
2011-07-27 13:55:52:660962, slv, 0050c2fffed28deb/01, 0.000000000, 0.000077310, 0.000000000, 0.000076530, -9794
2011-07-27 13:55:53:681241, slv, 0050c2fffed28deb/01, 0.000000000, 0.000076430, 0.000000000, 0.000076330, -9718
2011-07-27 13:55:54:680910, slv, 0050c2fffed28deb/01, 0.000000000, 0.000076270, 0.000000000, 0.000076210, -9642
2011-07-27 13:55:55:811324, slv, 0050c2fffed28deb/01, 0.000000000, 0.000076590, 0.000000000, 0.000076970, -9566
2011-07-27 13:55:56:841361, slv, 0050c2fffed28deb/01, 0.000000000, 0.000076410, 0.000000000, 0.000075850, -9490
2011-07-27 13:55:57:841106, slv, 0050c2fffed28deb/01, 0.000000000, 0.000075630, 0.000000000, 0.000075410, -9415
2011-07-27 13:55:58:981626, slv, 0050c2fffed28deb/01, 0.000000000, 0.000075090, 0.000000000, 0.000074770, -9340
2011-07-27 13:56:00:011179, slv, 0050c2fffed28deb/01, 0.000000000, 0.000075010, 0.000000000, 0.000075250, -9265
2011-07-27 13:56:01:011557, slv, 0050c2fffed28deb/01, 0.000000000, 0.000074990, 0.000000000, 0.000074730, -9191
2011-07-27 13:56:02:151442, slv, 0050c2fffed28deb/01, 0.000000000, 0.000074050, 0.000000000, 0.000073370, -9117
2011-07-27 13:56:03:171662, slv, 0050c2fffed28deb/01, 0.000000000, 0.000072530, 0.000000000, 0.000071690, -9045
2011-07-27 13:56:04:171378, slv, 0050c2fffed28deb/01, 0.000000000, 0.000071730, 0.000000000, 0.000071770, -8974
2011-07-27 13:56:05:262304, slv, 0050c2fffed28deb/01, 0.000000000, 0.000071790, 0.000000000, 0.000071810, -8903
2011-07-27 13:56:06:281487, slv, 0050c2fffed28deb/01, 0.000000000, 0.000071390, 0.000000000, 0.000070970, -8832
2011-07-27 13:56:07:282052, slv, 0050c2fffed28deb/01, 0.000000000, 0.000071050, 0.000000000, 0.000071130, -8761
2011-07-27 13:56:08:372134, slv, 0050c2fffed28deb/01, 0.000000000, 0.000067070, 0.000000000, 0.000063010, -8694
2011-07-27 13:56:09:391934, slv, 0050c2fffed28deb/01, 0.000000000, 0.000065930, 0.000000000, 0.000068850, -8629
2011-07-27 13:56:10:391650, slv, 0050c2fffed28deb/01, 0.000000000, 0.000068710, 0.000000000, 0.000068570, -8561
2011-07-27 13:56:11:542325, slv, 0050c2fffed28deb/01, 0.000000000, 0.000068690, 0.000000000, 0.000068810, -8493
2011-07-27 13:56:12:551737, slv, 0050c2fffed28deb/01, 0.000000000, 0.000067950, 0.000000000, 0.000067090, -8426
2011-07-27 13:56:13:551829, slv, 0050c2fffed28deb/01, 0.000000000, 0.000067070, 0.000000000, 0.000067050, -8359
2011-07-27 13:56:14:672724, slv, 0050c2fffed28deb/01, 0.000000000, 0.000066490, 0.000000000, 0.000065930, -8293
2011-07-27 13:56:15:691920, slv, 0050c2fffed28deb/01, 0.000000000, 0.000065370, 0.000000000, 0.000064810, -8228
2011-07-27 13:56:16:692283, slv, 0050c2fffed28deb/01, 0.000000000, 0.000064490, 0.000000000, 0.000064170, -8164
2011-07-27 13:56:17:852288, slv, 0050c2fffed28deb/01, 0.000000000, 0.000064770, 0.000000000, 0.000065370, -8100
2011-07-27 13:56:18:862391, slv, 0050c2fffed28deb/01, 0.000000000, 0.000064330, 0.000000000, 0.000063290, -8036
2011-07-27 13:56:19:862176, slv, 0050c2fffed28deb/01, 0.000000000, 0.000062710, 0.000000000, 0.000062130, -7974
2011-07-27 13:56:21:002628, slv, 0050c2fffed28deb/01, 0.000000000, 0.000061670, 0.000000000, 0.000061210, -7913
2011-07-27 13:56:22:012224, slv, 0050c2fffed28deb/01, 0.000000000, 0.000061190, 0.000000000, 0.000061170, -7852
2011-07-27 13:56:23:012568, slv, 0050c2fffed28deb/01, 0.000000000, 0.000060410, 0.000000000, 0.000059650, -7792
2011-07-27 13:56:24:152490, slv, 0050c2fffed28deb/01, 0.000000000, 0.000060190, 0.000000000, 0.000060730, -7732
2011-07-27 13:56:25:162672, slv, 0050c2fffed28deb/01, 0.000000000, 0.000060270, 0.000000000, 0.000059810, -7672
2011-07-27 13:56:26:162749, slv, 0050c2fffed28deb/01, 0.000000000, 0.000059890, 0.000000000, 0.000059970, -7613
2011-07-27 13:56:27:272649, slv, 0050c2fffed28deb/01, 0.000000000, 0.000058750, 0.000000000, 0.000057530, -7555
2011-07-27 13:56:28:283035, slv, 0050c2fffed28deb/01, 0.000000000, 0.000057950, 0.000000000, 0.000058370, -7498
2011-07-27 13:56:29:282518, slv, 0050c2fffed28deb/01, 0.000000000, 0.000054010, 0.000000000, 0.000049650, -7444
2011-07-27 13:56:30:433130, slv, 0050c2fffed28deb/01, 0.000000000, 0.000053030, 0.000000000, 0.000056410, -7391
2011-07-27 13:56:31:442647, slv, 0050c2fffed28deb/01, 0.000000000, 0.000055550, 0.000000000, 0.000054690, -7336
2011-07-27 13:56:32:443070, slv, 0050c2fffed28deb/01, 0.000000000, 0.000055030, 0.000000000, 0.000055370, -7281
2011-07-27 13:56:33:592926, slv, 0050c2fffed28deb/01, 0.000000000, 0.000054930, 0.000000000, 0.000054490, -7227
2011-07-27 13:56:34:613148, slv, 0050c2fffed28deb/01, 0.000000000, 0.000054450, 0.000000000, 0.000054410, -7173
2011-07-27 13:56:35:612858, slv, 0050c2fffed28deb/01, 0.000000000, 0.000053830, 0.000000000, 0.000053250, -7120
2011-07-27 13:56:36:753848, slv, 0050c2fffed28deb/01, 0.000000000, 0.000052890, 0.000000000, 0.000052530, -7068
2011-07-27 13:56:37:772958, slv, 0050c2fffed28deb/01, 0.000000000, 0.000052550, 0.000000000, 0.000052570, -7016
2011-07-27 13:56:38:773332, slv, 0050c2fffed28deb/01, 0.000000000, 0.000052150, 0.000000000, 0.000051730, -6964
2011-07-27 13:56:39:913333, slv, 0050c2fffed28deb/01, 0.000000000, 0.000051550, 0.000000000, 0.000051370, -6913
2011-07-27 13:56:40:933515, slv, 0050c2fffed28deb/01, 0.000000000, 0.000050890, 0.000000000, 0.000050410, -6863
2011-07-27 13:56:41:933176, slv, 0050c2fffed28deb/01, 0.000000000, 0.000050390, 0.000000000, 0.000050370, -6813
2011-07-27 13:56:43:074323, slv, 0050c2fffed28deb/01, 0.000000000, 0.000049590, 0.000000000, 0.000048810, -6764
2011-07-27 13:56:44:093287, slv, 0050c2fffed28deb/01, 0.000000000, 0.000049090, 0.000000000, 0.000049370, -6715
2011-07-27 13:56:45:093605, slv, 0050c2fffed28deb/01, 0.000000000, 0.000050570, 0.000000000, 0.000051770, -6665
2011-07-27 13:56:46:223837, slv, 0050c2fffed28deb/01, 0.000000000, 0.000049490, 0.000000000, 0.000047210, -6616
2011-07-27 13:56:47:243382, slv, 0050c2fffed28deb/01, 0.000000000, 0.000045210, 0.000000000, 0.000043210, -6571
2011-07-27 13:56:48:243828, slv, 0050c2fffed28deb/01, 0.000000000, 0.000044850, 0.000000000, 0.000046490, -6527
2011-07-27 13:56:49:393615, slv, 0050c2fffed28deb/01, 0.000000000, 0.000045370, 0.000000000, 0.000044250, -6482
2011-07-27 13:56:50:403963, slv, 0050c2fffed28deb/01, 0.000000000, 0.000041750, 0.000000000, 0.000039250, -6441
2011-07-27 13:56:51:403910, slv, 0050c2fffed28deb/01, 0.000000000, 0.000040690, 0.000000000, 0.000042130, -6401
2011-07-27 13:56:52:544155, slv, 0050c2fffed28deb/01, 0.000000000, 0.000043870, 0.000000000, 0.000045610, -6358
2011-07-27 13:56:53:553712, slv, 0050c2fffed28deb/01, 0.000000000, 0.000045330, 0.000000000, 0.000045050, -6313
2011-07-27 13:56:54:554278, slv, 0050c2fffed28deb/01, 0.000000000, 0.000044810, 0.000000000, 0.000044570, -6269
2011-07-27 13:56:55:683977, slv, 0050c2fffed28deb/01, 0.000000000, 0.000044390, 0.000000000, 0.000044210, -6225
2011-07-27 13:56:56:704206, slv, 0050c2fffed28deb/01, 0.000000000, 0.000043890, 0.000000000, 0.000043570, -6182
2011-07-27 13:56:57:703969, slv, 0050c2fffed28deb/01, 0.000000000, 0.000043110, 0.000000000, 0.000042650, -6139
2011-07-27 13:56:58:864397, slv, 0050c2fffed28deb/01, 0.000000000, 0.000042490, 0.000000000, 0.000042330, -6097
2011-07-27 13:56:59:884003, slv, 0050c2fffed28deb/01, 0.000000000, 0.000042290, 0.000000000, 0.000042250, -6055
2011-07-27 13:57:00:884350, slv, 0050c2fffed28deb/01, 0.000000000, 0.000041170, 0.000000000, 0.000040090, -6014
2011-07-27 13:57:02:024548, slv, 0050c2fffed28deb/01, 0.000000000, 0.000040230, 0.000000000, 0.000040370, -5974
2011-07-27 13:57:03:044440, slv, 0050c2fffed28deb/01, 0.000000000, 0.000040350, 0.000000000, 0.000040330, -5934
2011-07-27 13:57:04:044250, slv, 0050c2fffed28deb/01, 0.000000000, 0.000040270, 0.000000000, 0.000040210, -5894
2011-07-27 13:57:05:164432, slv, 0050c2fffed28deb/01, 0.000000000, 0.000039270, 0.000000000, 0.000038330, -5855
2011-07-27 13:57:06:184647, slv, 0050c2fffed28deb/01, 0.000000000, 0.000038890, 0.000000000, 0.000039450, -5817
2011-07-27 13:57:07:184333, slv, 0050c2fffed28deb/01, 0.000000000, 0.000038610, 0.000000000, 0.000037770, -5779
2011-07-27 13:57:08:335285, slv, 0050c2fffed28deb/01, 0.000000000, 0.000037990, 0.000000000, 0.000038210, -5742
2011-07-27 13:57:09:354415, slv, 0050c2fffed28deb/01, 0.000000000, 0.000037990, 0.000000000, 0.000037770, -5705
2011-07-27 13:57:10:354857, slv, 0050c2fffed28deb/01, 0.000000000, 0.000037550, 0.000000000, 0.000037330, -5668
2011-07-27 13:57:11:494892, slv, 0050c2fffed28deb/01, 0.000000000, 0.000036410, 0.000000000, 0.000035490, -5632
2011-07-27 13:57:12:504910, slv, 0050c2fffed28deb/01, 0.000000000, 0.000036470, 0.000000000, 0.000037450, -5596
